id;ident;name;description;path_name;file_name;latest_version;is_template;is_active
1;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;../fake-data/blob/hipster.txt;compress lavender Investment Account;backing up;Iran;true;true
2;Metal Frozen;Buckinghamshire alliance redundant;../fake-data/blob/hipster.txt;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;false;false
3;Benin;Tuna Response invoice;../fake-data/blob/hipster.txt;alarm Jamaica;system Gorgeous Rubber Pants;hack;false;false
4;Small;Incredible Fresh Chips;../fake-data/blob/hipster.txt;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;false;false
5;Personal Loan Account;Cambridgeshire Norfolk Island;../fake-data/blob/hipster.txt;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station;true;true
6;Investment Account parsing invoice;black;../fake-data/blob/hipster.txt;yellow;Books Generic;robust withdrawal generate;true;false
7;open-source hybrid;Solomon Islands Dollar;../fake-data/blob/hipster.txt;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;true;true
8;Cotton Robust;user-centric Infrastructure;../fake-data/blob/hipster.txt;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;false;true
9;streamline;Interactions;../fake-data/blob/hipster.txt;Fantastic time-frame Quality;Borders Borders Practical;methodical;false;true
10;ivory Data neural;Unbranded;../fake-data/blob/hipster.txt;Associate Designer;mindshare;Guam bandwidth Liaison;true;true
